"","지점번호","지점명칭","위도","경도","주소","유입.링크아이디","유출.링크아이디","유입.방향","유출방향","일자","요일","지점명","유입유출","방향","0시","1시","2시","3시","4시","5시","6시","7시","8시","9시","10시","11시","12시","13시","14시","15시","16시","17시","18시","19시","20시","21시","22시","23시"
"1","A-01","성산로(금화터널)",37.568752,126.948938,"서울시 서대문구 신촌동 1-142",1120006400,1120006300,"[성산로]봉원고가차도->독립문역","[성산로]독립문역->봉원고가차도",20160101,"금","성산로(금화터널)","유입","봉원고가차도->독립문역",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","A-01","성산로(금화터널)",37.568752,126.948938,"서울시 서대문구 신촌동 1-142",1120006400,1120006300,"[성산로]봉원고가차도->독립문역","[성산로]독립문역->봉원고가차도",20160102,"토","성산로(금화터널)","유입","봉원고가차도->독립문역",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","A-01","성산로(금화터널)",37.568752,126.948938,"서울시 서대문구 신촌동 1-142",1120006400,1120006300,"[성산로]봉원고가차도->독립문역","[성산로]독립문역->봉원고가차도",20160103,"일","성산로(금화터널)","유입","봉원고가차도->독립문역",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","A-01","성산로(금화터널)",37.568752,126.948938,"서울시 서대문구 신촌동 1-142",1120006400,1120006300,"[성산로]봉원고가차도->독립문역","[성산로]독립문역->봉원고가차도",20160104,"월","성산로(금화터널)","유입","봉원고가차도->독립문역",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","A-01","성산로(금화터널)",37.568752,126.948938,"서울시 서대문구 신촌동 1-142",1120006400,1120006300,"[성산로]봉원고가차도->독립문역","[성산로]독립문역->봉원고가차도",20160105,"화","성산로(금화터널)","유입","봉원고가차도->독립문역",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","A-01","성산로(금화터널)",37.568752,126.948938,"서울시 서대문구 신촌동 1-142",1120006400,1120006300,"[성산로]봉원고가차도->독립문역","[성산로]독립문역->봉원고가차도",20160106,"수","성산로(금화터널)","유입","봉원고가차도->독립문역",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","A-01","성산로(금화터널)",37.568752,126.948938,"서울시 서대문구 신촌동 1-142",1120006400,1120006300,"[성산로]봉원고가차도->독립문역","[성산로]독립문역->봉원고가차도",20160107,"목","성산로(금화터널)","유입","봉원고가차도->독립문역",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","A-01","성산로(금화터널)",37.568752,126.948938,"서울시 서대문구 신촌동 1-142",1120006400,1120006300,"[성산로]봉원고가차도->독립문역","[성산로]독립문역->봉원고가차도",20160108,"금","성산로(금화터널)","유입","봉원고가차도->독립문역",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","A-01","성산로(금화터널)",37.568752,126.948938,"서울시 서대문구 신촌동 1-142",1120006400,1120006300,"[성산로]봉원고가차도->독립문역","[성산로]독립문역->봉원고가차도",20160109,"토","성산로(금화터널)","유입","봉원고가차도->독립문역",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","A-01","성산로(금화터널)",37.568752,126.948938,"서울시 서대문구 신촌동 1-142",1120006400,1120006300,"[성산로]봉원고가차도->독립문역","[성산로]독립문역->봉원고가차도",20160110,"일","성산로(금화터널)","유입","봉원고가차도->독립문역",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","A-01","성산로(금화터널)",37.568752,126.948938,"서울시 서대문구 신촌동 1-142",1120006400,1120006300,"[성산로]봉원고가차도->독립문역","[성산로]독립문역->봉원고가차도",20160111,"월","성산로(금화터널)","유입","봉원고가차도->독립문역",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","A-01","성산로(금화터널)",37.568752,126.948938,"서울시 서대문구 신촌동 1-142",1120006400,1120006300,"[성산로]봉원고가차도->독립문역","[성산로]독립문역->봉원고가차도",20160112,"화","성산로(금화터널)","유입","봉원고가차도->독립문역",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","A-01","성산로(금화터널)",37.568752,126.948938,"서울시 서대문구 신촌동 1-142",1120006400,1120006300,"[성산로]봉원고가차도->독립문역","[성산로]독립문역->봉원고가차도",20160113,"수","성산로(금화터널)","유입","봉원고가차도->독립문역",738,596,389,266,280,471,NA,2706,2775,2290,2145,2187,1975,NA,1723,2119,2060,2132,2115,1665,1284,1298,898,773
"14","A-01","성산로(금화터널)",37.568752,126.948938,"서울시 서대문구 신촌동 1-142",1120006400,1120006300,"[성산로]봉원고가차도->독립문역","[성산로]독립문역->봉원고가차도",20160114,"목","성산로(금화터널)","유입","봉원고가차도->독립문역",691,532,380,256,289,566,NA,2587,1999,2326,2188,2177,1995,1771,2055,2094,2086,2132,2168,1718,1369,1478,1439,1061
