"","링크아이디","링크.세부.구분","시군구.코드","시군구_영어명","시군구_한글명","위도","경도","도로명","시점명","종점명","방향","거리","차선수","01시","02시","03시","04시","05시","06시","07시","08시","09시","10시","11시","12시","13시","14시","15시","16시","17시","18시","19시","20시","21시","22시","23시","24시"
"1",1000002800,3,11140,"Jung-gu","중구",37.56816,126.9924,"청계천로","청계2가","청계3가","상행",418,2,46.38,46.41,49.75,47.67,53.09,55.16,50,50.88,41.58,38.38,46.2,38.02,32.32,29.63,30.68,31.6,33.58,32.07,35.49,33.83,36.31,39.41,41.67,40.14
"2",1000002800,2,11140,"Jung-gu","중구",37.56791,126.98883,"청계천로","청계2가","청계3가","상행",418,2,46.38,46.41,49.75,47.67,53.09,55.16,50,50.88,41.58,38.38,46.2,38.02,32.32,29.63,30.68,31.6,33.58,32.07,35.49,33.83,36.31,39.41,41.67,40.14
"3",1000002800,1,11140,"Jung-gu","중구",37.56793,126.98768,"청계천로","청계2가","청계3가","상행",418,2,46.38,46.41,49.75,47.67,53.09,55.16,50,50.88,41.58,38.38,46.2,38.02,32.32,29.63,30.68,31.6,33.58,32.07,35.49,33.83,36.31,39.41,41.67,40.14
"4",1000002900,4,11140,"Jung-gu","중구",37.56797,126.98677,"청계천로","광교","청계2가","상행",444,1,49.8,41.46,39.66,39.24,54.2,50.19,45.86,43.25,35.64,35.52,38.48,37.27,29.17,27.08,25.56,26.2,34.8,32.97,28.11,31.07,38.6,33.34,38.38,36.2
"5",1000002900,3,11140,"Jung-gu","중구",37.56803,126.98631,"청계천로","광교","청계2가","상행",444,1,49.8,41.46,39.66,39.24,54.2,50.19,45.86,43.25,35.64,35.52,38.48,37.27,29.17,27.08,25.56,26.2,34.8,32.97,28.11,31.07,38.6,33.34,38.38,36.2
"6",1000002900,1,11140,"Jung-gu","중구",37.56869,126.98276,"청계천로","광교","청계2가","상행",444,1,49.8,41.46,39.66,39.24,54.2,50.19,45.86,43.25,35.64,35.52,38.48,37.27,29.17,27.08,25.56,26.2,34.8,32.97,28.11,31.07,38.6,33.34,38.38,36.2
"7",1000002900,5,11140,"Jung-gu","중구",37.56793,126.98747,"청계천로","광교","청계2가","상행",444,1,49.8,41.46,39.66,39.24,54.2,50.19,45.86,43.25,35.64,35.52,38.48,37.27,29.17,27.08,25.56,26.2,34.8,32.97,28.11,31.07,38.6,33.34,38.38,36.2
"8",1000002900,2,11140,"Jung-gu","중구",37.56842,126.98442,"청계천로","광교","청계2가","상행",444,1,49.8,41.46,39.66,39.24,54.2,50.19,45.86,43.25,35.64,35.52,38.48,37.27,29.17,27.08,25.56,26.2,34.8,32.97,28.11,31.07,38.6,33.34,38.38,36.2
"9",1000002900,6,11140,"Jung-gu","중구",37.56793,126.98768,"청계천로","광교","청계2가","상행",444,1,49.8,41.46,39.66,39.24,54.2,50.19,45.86,43.25,35.64,35.52,38.48,37.27,29.17,27.08,25.56,26.2,34.8,32.97,28.11,31.07,38.6,33.34,38.38,36.2
"10",1000003000,6,11140,"Jung-gu","중구",37.56898,126.98278,"청계천로","청계2가","광교","하행",444,1,33.18,34.5,35.12,32.36,35.33,41.05,44.34,35.09,33.18,34.31,38.73,37.93,31.95,25.44,28.18,30.38,33.31,27.04,38.46,21.33,24.68,27.08,33.29,27.81
"11",1000003200,3,11140,"Jung-gu","중구",37.56869,126.99797,"청계천로","청계3가","청계4가","상행",495,2,40.06,41.35,44.34,44.61,44.28,47.64,43.55,40.81,41.82,38.01,36.63,37.55,33,32.04,33.07,37.13,36.06,38.73,34.09,40.33,34.52,37.18,37.14,37.85
"12",1000003200,2,11140,"Jung-gu","중구",37.56847,126.99617,"청계천로","청계3가","청계4가","상행",495,2,40.06,41.35,44.34,44.61,44.28,47.64,43.55,40.81,41.82,38.01,36.63,37.55,33,32.04,33.07,37.13,36.06,38.73,34.09,40.33,34.52,37.18,37.14,37.85
"13",1000003200,1,11140,"Jung-gu","중구",37.56816,126.9924,"청계천로","청계3가","청계4가","상행",495,2,40.06,41.35,44.34,44.61,44.28,47.64,43.55,40.81,41.82,38.01,36.63,37.55,33,32.04,33.07,37.13,36.06,38.73,34.09,40.33,34.52,37.18,37.14,37.85
"14",1000003300,4,11140,"Jung-gu","중구",37.56869,126.98276,"청계천로","모전교","광교","상행",309,1,39.64,36.38,34.65,42.41,37.45,41.74,37.52,47.58,40.47,35.22,38.79,32.52,40.37,28.67,37.12,33.44,47.26,36.33,45.68,46.51,33.05,40.78,39.5,43.99
"15",1000003300,3,11140,"Jung-gu","중구",37.56879,126.98136,"청계천로","모전교","광교","상행",309,1,39.64,36.38,34.65,42.41,37.45,41.74,37.52,47.58,40.47,35.22,38.79,32.52,40.37,28.67,37.12,33.44,47.26,36.33,45.68,46.51,33.05,40.78,39.5,43.99
"16",1000003300,2,11140,"Jung-gu","중구",37.56886,126.98032,"청계천로","모전교","광교","상행",309,1,39.64,36.38,34.65,42.41,37.45,41.74,37.52,47.58,40.47,35.22,38.79,32.52,40.37,28.67,37.12,33.44,47.26,36.33,45.68,46.51,33.05,40.78,39.5,43.99
"17",1000003300,1,11140,"Jung-gu","중구",37.56894,126.97927,"청계천로","모전교","광교","상행",309,1,39.64,36.38,34.65,42.41,37.45,41.74,37.52,47.58,40.47,35.22,38.79,32.52,40.37,28.67,37.12,33.44,47.26,36.33,45.68,46.51,33.05,40.78,39.5,43.99
"18",1000003400,1,11140,"Jung-gu","중구",37.56898,126.98278,"청계천로","광교","모전교","하행",310,1,41.13,39.15,34.75,39.33,38.5,35.7,35.01,34.16,32.73,26.67,29.05,32.55,34.14,25.83,26.97,32.46,23.33,26.33,19.75,26.09,25.33,27.83,38.99,47.42
"19",1000003600,1,11140,"Jung-gu","중구",37.56584,126.96672,"통일로","서대문역","독립문역","상행",905,5,36.13,39.48,38.42,38.55,40.54,41.8,38.93,36.25,38.09,33.97,32.6,29.57,28.72,28.96,27.66,27.42,28.57,28.24,30.61,31.23,32.05,31.01,31.58,33.24
"20",1000003700,2,11140,"Jung-gu","중구",37.56904,126.97741,"청계천로","청계광장","모전교","상행",199,1,33.13,48.36,33.04,42.35,40.34,41.5,36.2,38.69,27.89,26.01,30.35,28.52,28.92,32.15,21.3,24.85,24.66,28.77,27.48,31.48,31.85,28.69,36.6,27.55
"21",1000003700,3,11140,"Jung-gu","중구",37.56894,126.97928,"청계천로","청계광장","모전교","상행",199,1,33.13,48.36,33.04,42.35,40.34,41.5,36.2,38.69,27.89,26.01,30.35,28.52,28.92,32.15,21.3,24.85,24.66,28.77,27.48,31.48,31.85,28.69,36.6,27.55
"22",1000003700,1,11140,"Jung-gu","중구",37.56902,126.97704,"청계천로","청계광장","모전교","상행",199,1,33.13,48.36,33.04,42.35,40.34,41.5,36.2,38.69,27.89,26.01,30.35,28.52,28.92,32.15,21.3,24.85,24.66,28.77,27.48,31.48,31.85,28.69,36.6,27.55
"23",1000003900,4,11140,"Jung-gu","중구",37.56808,126.98761,"삼일대로","종로2가","청계2가","상행",230,3,31.71,31.88,34.43,36.22,39.05,38.16,35.61,38.29,36.45,36.43,33.34,30.68,30.07,27.56,28.58,29.53,28.77,27.46,26.18,27.49,27.37,29.05,28.69,27.99
"24",1000004000,1,11140,"Jung-gu","중구",37.56808,126.98775,"삼일대로","청계2가","종로2가","하행",230,4,31.5,33.92,36.74,43.4,41.39,39.69,34.86,33.09,31.17,28.38,31.34,22.16,18.53,17.81,18.44,18.36,19.43,20.57,20.69,24.17,26.08,26.18,28.85,30.72
"25",1000004200,5,11140,"Jung-gu","중구",37.56925,126.97588,"세종대로21길","청계광장","새문안교회","상행",211,2,27.25,42.22,26.34,29.64,37.35,48,32.82,28.3,30.25,26.5,25.25,21.67,20.08,18.83,19.17,18.58,19.34,21.93,23.28,21.58,24.2,22.5,23.75,25.33
"26",1000004200,4,11140,"Jung-gu","중구",37.56905,126.97615,"세종대로21길","청계광장","새문안교회","상행",211,2,27.25,42.22,26.34,29.64,37.35,48,32.82,28.3,30.25,26.5,25.25,21.67,20.08,18.83,19.17,18.58,19.34,21.93,23.28,21.58,24.2,22.5,23.75,25.33
"27",1000004200,3,11140,"Jung-gu","중구",37.56902,126.97632,"세종대로21길","청계광장","새문안교회","상행",211,2,27.25,42.22,26.34,29.64,37.35,48,32.82,28.3,30.25,26.5,25.25,21.67,20.08,18.83,19.17,18.58,19.34,21.93,23.28,21.58,24.2,22.5,23.75,25.33
"28",1000004200,1,11140,"Jung-gu","중구",37.56915,126.97699,"세종대로21길","청계광장","새문안교회","상행",211,2,27.25,42.22,26.34,29.64,37.35,48,32.82,28.3,30.25,26.5,25.25,21.67,20.08,18.83,19.17,18.58,19.34,21.93,23.28,21.58,24.2,22.5,23.75,25.33
"29",1000004200,2,11140,"Jung-gu","중구",37.56903,126.97666,"세종대로21길","청계광장","새문안교회","상행",211,2,27.25,42.22,26.34,29.64,37.35,48,32.82,28.3,30.25,26.5,25.25,21.67,20.08,18.83,19.17,18.58,19.34,21.93,23.28,21.58,24.2,22.5,23.75,25.33
"30",1000004400,1,11140,"Jung-gu","중구",37.56869,126.99797,"청계천로","청계4가","청계5가","상행",371,2,41.49,43.5,42.57,45.64,45.27,42.41,44.82,40.3,36.97,36.43,34.16,28.52,26.8,22.87,24.36,27.45,23.96,25.35,24.3,24.21,25.4,37.24,32.87,38.85
